TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	TAXA	NUMBERS
RB407	18/05/2017	RB	4	Hirudinea	Glossiphonidae	Helobdella_stagnalis	3
RB408	18/05/2017	RB	4	Hirudinea	Glossiphonidae	Glossiphonia_heteroclita	1
RB409	18/05/2017	RB	4	Diptera	Chironomidae	Chironomidae	124
RB410	18/05/2017	RB	4	Coleoptera	Elmidae	Limnius_sp.	1
RB501	18/05/2017	RB	5	Crustacea	Corophidae	Corophium_sp.	1
RB502	18/05/2017	RB	5	Crustacea	Gammaridae	Gammarus_zaddachi	51
RB503	18/05/2017	RB	5	Crustacea	Corophidae	Corophium_curvispinum	1
RB504	18/05/2017	RB	5	Crustacea	Asellidae	Asellus_aquaticus	1
RB505	18/05/2017	RB	5	Mollusca	Valvatidae	Valvata_piscinalis	1
RB506	18/05/2017	RB	5	Mollusca	Lymnaeidae	Lymnaea_truncatula	1
RB507	18/05/2017	RB	5	Coleoptera	Haliplidae	Haliplidae	3
RB508	18/05/2017	RB	5	Diptera	Chironomidae	Chironomidae	13
RB509	18/05/2017	RB	5	Trichoptera	Leptoceridae	Ecnomus_sp.	1
RB510	18/05/2017	RB	5	Mollusca	Neritidae	Theodoxus_fluviatilis	1
RB511	18/05/2017	RB	5	Mollusca	Lymnaeidae	Lymnaea_auricolaria	2
RB512	18/05/2017	RB	5	Mollusca	Planorbidae	Planorbis_contortus	1
RB513	18/05/2017	RB	5	Mollusca	Hydrobiidae	Bithynia_sp.	17
RB514	18/05/2017	RB	5	Hemiptera	Corixidae	Corixidae	2
RB601	18/05/2017	RB	6	Hemiptera	Nepidae	Nepa_cinerea	1
RB602	18/05/2017	RB	6	Hemiptera	Notonectidae	Notonecta_glauca	1
RB603	18/05/2017	RB	6	Coleoptera	Elmidae	Elmidae	1
RB604	18/05/2017	RB	6	Zygoptera	Coenagrionidae	Coenagrionidae	1
RB606	18/05/2017	RB	6	Diptera	Chironomidae	Chironomidae	1
RB607	18/05/2017	RB	6	Crustacea	Asellidae	Asellus_aquaticus	3
RB608	18/05/2017	RB	6	Crustacea	Gammaridae	Gammarus_zaddachi	23
RB609	18/05/2017	RB	6	Crustacea	Corophidae	Corophium_curvispinum	15
RB610	18/05/2017	RB	6	Zygoptera	Zygoptera	Zygoptera	1
RB611	18/05/2017	RB	6	Hirudinea	Glossiphonidae	Placobdella_costata	1
RB612	18/05/2017	RB	6	Coleoptera	Elmidae	Elmidae	5
RB613	18/05/2017	RB	6	Hydracarina	Limnesiidae	Limnesia_sp.	2
RB614	18/05/2017	RB	6	Hemiptera	Corixidae	Corixidae	1
RB615	18/05/2017	RB	6	Plecoptera	Plecoptera	Plecoptera	1
RB616	18/05/2017	RB	6	Mollusca	Bithyniidae	Bithynia_tentaculata	9
RB617	18/05/2017	RB	6	Mollusca	Lymnaeidae	Lymnaea_stagnalis	7
RB618	18/05/2017	RB	6	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	6
